code,name,mapped_to,type,resolution,climate,ozone,radiation,photo_ox,pm,ht_nc,ht_c,acid,e_fw,e_m,e_t,ecotox,land,water,energy,mater,cc_bio,cc_fos,cc_luc
26085,"Rouget-barbet de roche, cru","Surmullet or red mullet, raw",,mapped,-0.0621,-0.1809,0.1126,-0.0071,0.0268,0.3205,-1.8233,-0.0097,0.0761,0.0801,-0.1037,13.5407,0.1167,11.8121,1.2602,0.2539,0.0903,0.0595,-0.186
26086,"Maquereau, filet sauce tomate, appertisé, égoutté","Mackerel, fillet, in tomato sauce, canned, drained",,mapped,-0.081,-0.2265,-0.1768,-0.0294,-0.0613,1.463,-2.9309,0.0611,-0.0973,-0.021,-0.2028,23.2541,-0.0266,28.5465,1.1831,0.1447,-0.0728,0.0657,-0.0575
26087,"Maquereau, fumé","Mackerel, smoked",,mapped,0.0992,-0.1821,0.0049,0.0907,-0.1173,0.8505,-6.9048,0.0424,0.1466,-0.0815,-0.2317,15.4301,0.2853,-25.7754,0.9792,-0.045,-0.1081,0.07,0.0497
26088,"Dorade royale ou daurade ou vraie daurade, crue, élevage","Gilthead seabream, raw, farmed",,mapped,-4.7827,0.1611,0.0277,0.0381,-0.3259,-0.0008,27.6176,0.0402,-0.7018,-0.1124,-0.1294,3.913,-4.8946,-83.1926,-0.7168,-0.0415,1.8936,-5.496,-0.8111
26090,Haddock (fumé) ou églefin fumé,"Haddock, smoked",,mapped,0.2951,-0.1604,-0.1696,-0.0286,-0.0215,0.8531,-1.77,-0.1437,-0.028,0.0357,0.0494,15.1434,-0.073,-14.5925,0.6176,0.0426,0.3029,0.0694,0.2436
26091,"Mulet, cru","Mullet, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26092,"Truite de mer, crue","Sea trout, raw",,mapped,-0.0455,0.2213,-0.2141,-0.1691,-0.5555,1.8584,7.5855,-0.0005,-0.2359,-0.0878,0.2356,4.5101,-1.1321,-78.5733,1.0322,-0.0395,4.853,-0.0767,-0.0307
26093,"Espadon, rôti/cuit au four","Swordfish, roasted/baked",,mapped,-0.0318,0.0292,-0.0304,-0.0138,0.0261,0.6497,-3.2481,0.1289,-0.1873,0.1431,0.1159,19.4623,-0.0142,1.3721,0.7467,0.1725,0.1233,-0.0469,0.0307
26094,"Turbot, rôti/cuit au four","Turbot, roasted/baked",,mapped,-5.3143,0.1184,0.204,-0.0735,-0.2948,-0.0404,26.6627,0.0171,-0.8551,-0.0244,0.0361,4.4858,-4.8473,-83.9101,-1.0233,-0.3462,2.3073,-5.5001,-0.6985
26095,"Merlan, cru","Whiting, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
